Serial Number	Cathode Luminous Sens. (µA/lm)	Anode Luminous Sens. (A/lm)	Anode Dark Current (nA)	Cathode Blue Sens. Index	Supply Voltage 2.105 (V)	Supply Voltage 106 (V)	P/V	T.T.S (ns)	Dark Counts (s-1)
205	96	9.1	0.27	13.8	1440	1990	2.45	2.18	2200
207	134	19.5	0.55	15	1320	1820	2.36	2.286	4600
208	78	8.3	0.45	12.8	1410	1960	2.22	2.134	2300
209	117	23	16	15.1	1250	1700	2.46	2.281	5500
210	128	23.5	17	15	1270	1730	2.36	2.252	7800
211	113	16.7	15	14.6	1350	1890	2.5	2.368	4000
212	101	19.3	0.84	14.4	1260	1720	3.13	2.298	3300
214	101	11.9	0.2	14.2	1380	1910	2.38	2.391	1900
215	108	19.7	0.78	14.4	1270	1720	2.64	2.216	3800
216	120	18.6	15	14.3	1320	1790	3.11	2.164	4700
217	108	19.1	0.53	14.5	1280	1740	3.23	2.12	2600
218	104	16.5	0.35	14.7	1300	1790	2.89	2.258	2600
219	156	34.8	0.9	16.1	1230	1660	2.33	2.379	7900
221	100	14.8	0.5	14.7	1320	1810	2.6	2.093	2100
222	128	33.1	1.4	15.6	1200	1600	2.9	2.401	4500
223	94	13.2	0.18	14.1	1340	1830	3.29	2.348	2100
224	93	8.7	0.19	14	1440	2000	3	2.041	1200
225	129	23.5	1.1	15.3	1270	1720	3.1	2.282	3600
226	130	14.5	9.6	15.5	1390	1930	2.58	2.14	6700
227	101	17.2	1.7	13.6	1280	1750	2.83	2.234	1400
228	135	17.1	0.92	15.6	1360	1870	3	2.147	3600
230	105	11.2	0.46	14.3	1410	1920	2.5	2.231	3200
231	121	13.2	1.2	15.2	1400	1940	2.73	2.118	4800
232	110	10.7	7.9	14.4	1430	1990	2.7	1.961	2700
233	109	12.5	2.6	14.5	1380	1920	2.46	2.015	5300
235	114	11	2.4	14.8	1440	2000	2.8	1.945	1600
238	104	14.4	0.61	14.5	1340	1840	2.6	2.093	4000
239	102	13.1	0.55	14.5	1360	1870	2.82	2.045	2000
240	161	21.9	2.2	15.7	1350	1870	2.69	2.23	7600
241	115	14.9	0.62	15.2	1350	1870	2.6	2.198	2400
242	101	11.4	0.58	14.8	1390	1930	2.09	2.269	3800
243	146	24.7	4.5	15.5	1290	1750	2.54	2.421	3800
244	120	21.4	1.4	15.2	1270	1740	2.63	2.204	5000
245	118	22	1.7	15.2	1260	1730	2.67	2.098	4000
246	143	31.6	5.5	15.8	1230	1670	2.36	2.275	6000
247	120	18.9	1.3	15.4	1310	1800	2.08	2.458	4500
248	119	13.9	2.2	15.2	1380	1920	2.54	2.154	4900
249	134	23	2.5	15.7	1280	1760	2.76	2.378	2400
251	109	23.2	11	14.9	1310	1800	2.47	2.264	3900
252	110	14.5	0.45	16.9	1350	1850	3.2	2.149	2600
254	141	18.6	1.5	15.5	1350	1850	2.21	2.397	4600
255	122	18.9	0.72	14.7	1400	1930	2.81	2.12	3200
256	118	16.4	0.94	15.1	1340	1830	3	2.166	6500
257	91	11.6	0.36	13.6	1360	1880	2.27	2.389	3700
258	107	16.1	0.67	13.7	1320	1800	2.3	2.243	7300
261	104	14.3	1.2	14.3	1340	1840	2.36	2.339	4400
262	96	15.6	30	13.7	1300	1760	2.7	2.235	3100
263	113	19.1	26	14.2	1290	1760	2.63	2.273	5500
264	100	17.5	23	13.9	1280	1740	2.9	2.123	4100
265	120	16.1	26	15.1	1350	1850	2.72	2.34	2900
266	119	19.5	20	14.4	1300	1760	2.42	2.096	3800
267	127	22.9	1.4	14.8	1270	1730	2.07	2.254	8000
269	135	19.8	35	15.1	1330	1820	2.2	2.296	5600
270	102	12.6	48	14.1	1370	1890	3.16	2.443	3300
271	121	18.2	0.93	15.2	1320	1800	2.81	2.404	4200
273	113	17.8	46	14.8	1310	1780	2.46	2.094	5600
275	100	17.5	1.1	13.9	1280	1730	2.72	2.251	5600
276	107	14.1	0.9	14.3	1350	1850	2.63	2.377	6400
277	109	23.2	2.8	13.8	1240	1680	2.46	2.289	8400
278	96	13.6	65	13.6	1330	1820	2.8	2.545	2800
279	106	17.5	15	14.4	1290	1750	3	2.478	2900
280	95	15.7	26	13.8	1290	1750	2.63	2.087	4500
281	91	10.4	0.36	13.7	1390	1920	2.2	2.086	2800
284	109	13.2	0.46	14.5	1370	1880	2.4	2.645	5200
286	109	13.9	29	14.3	1360	1890	2.54	2.054	5900
287	108	16.1	42	14.6	1320	1820	2.33	2.584	3100
288	117	21	46	15.1	1270	1750	2.33	2.495	7100
289	102	15.3	1.2	14.2	1320	1810	2.18	2.586	4200
291	139	27.1	2.7	15.5	1250	1710	2.77	2.2	6100
292	117	14.3	20	15	1370	1920	2.5	2.19	6800
293	130	22.9	35	15.3	1280	1740	2.81	2.364	7600
