260, 0.0000
270, 0.0026
280, 0.0065
290, 0.0247
300, 0.0753
310, 0.1490
320, 0.2289
330, 0.2891
340, 0.3246
350, 0.3431
360, 0.3514
370, 0.3621
380, 0.3719
390, 0.3683
400, 0.3617
410, 0.3520
420, 0.3416
430, 0.3298
440, 0.3157
450, 0.3001
460, 0.2826
470, 0.2606
480, 0.2397
490, 0.2220
500, 0.2072
510, 0.1935
520, 0.1732
530, 0.1393
540, 0.1066
550, 0.0857
560, 0.0726
570, 0.0622
580, 0.0529
590, 0.0440
600, 0.0356
610, 0.0279
620, 0.0211
630, 0.0152
640, 0.0104
650, 0.0067
660, 0.0041
670, 0.0024
680, 0.0013
690, 0.0007
700, 0.0003
710, 0.0002
720, 0.0001
