260, 0
270, 0.000558824
280, 0.00431667
290, 0.0144158
300, 0.0463316
310, 0.112768
320, 0.188074
330, 0.259337
340, 0.309142
350, 0.336926
360, 0.350553
370, 0.354684
380, 0.362453
390, 0.370232
400, 0.365105
410, 0.358239
420, 0.348779
430, 0.3382
440, 0.324826
450, 0.310953
460, 0.294805
470, 0.275132
480, 0.253042
490, 0.233521
500, 0.217526
510, 0.204189
520, 0.1888
530, 0.161637
540, 0.125705
550, 0.0976526
560, 0.0799895
570, 0.0679421
580, 0.0577105
590, 0.0483684
600, 0.0394632
610, 0.0312842
620, 0.0238684
630, 0.0175526
640, 0.0122737
650, 0.00822632
660, 0.00520526
670, 0.00316316
680, 0.00183158
690, 0.00101579
700, 0.000552632
710, 0.000305263
720, 0.000177778
730, 9.375e-05
740, 0.0004
750, 0.0003
760, 0.0001
